,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.020455574,0.019503909,0.016228542,0.018524024,0.018226763,0.018132116,0.016570817,0.017173787,0.016398685,0.01851234,0.017278917,0.017061092,0.018574155,0.019904315,0.017277791,0.027540902,0.024775191,0.024754309,0.026121118,0.023377944,0.024630484,0.026935089,0.024754016,0.023651945,0.030538222,0.024332687,0.026275749,0.02746276,0.025934196,0.030158198,0.022616668,0.022927955,0.026364646,0.025191352,0.02356327,0.026664829,0.031671011,0.024932825,0.026658685,0.02703631,0.027049295,0.02916746,0.029409779,0.030245415,0.029760762,0.040048941,0.037511633,0.037863652,0.040016996,0.038973936,0.042556828,0.042764912,0.041055812,0.03976792,0.032208208,0.032307716,0.028820826,0.039165003,0.037918196,0.036872655
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__hgcI clade,0.021717743,0.016817638,0.013577998,0.005730646,0.005273916,0.004606589,0.009751107,0.010250479,0.009921535,0.004542462,0.005724689,0.00556047,0.008280528,0.014936269,0.007872552,0.066753112,0.070052745,0.076359698,0.078142015,0.078797926,0.066715503,0.072196147,0.074629582,0.076337488,0.087844731,0.077681775,0.082163692,0.077479649,0.078879182,0.081909829,0.007780909,0.007183006,0.007217369,0.005004241,0.005685684,0.00632799,0.013068552,0.01163006,0.01067718,0.005131344,0.004283049,0.005983212,0.004993733,0.005043011,0.003827427,0.083923282,0.075762636,0.07602119,0.077828274,0.067649894,0.074610921,0.080213937,0.080994477,0.080928414,0.042572469,0.040367961,0.038228843,0.043137691,0.045890488,0.043002412
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella,0.022904987,0.024000363,0.028234772,0.028522962,0.025978088,0.028721645,0.020615032,0.020341426,0.018160152,0.026941175,0.018026668,0.018241437,0.01928586,0.019447732,0.01970023,0.014013683,0.013756211,0.014129134,0.015425417,0.014969944,0.015607376,0.013581849,0.015815767,0.013782544,0.015828532,0.013571906,0.014004827,0.013102759,0.014551099,0.015224578,0.028443835,0.031908007,0.045386507,0.022149797,0.031996129,0.027324316,0.040370467,0.027199393,0.02915342,0.031613767,0.031933162,0.033106785,0.040936584,0.047211159,0.044193073,0.02789829,0.025871904,0.025780284,0.024375425,0.02429528,0.024147016,0.031516101,0.030593867,0.030126826,0.032641444,0.03387971,0.030450497,0.048085146,0.046336953,0.047356161
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,0.031984711,0.034003124,0.032243687,0.038187945,0.037791533,0.038177769,0.037928703,0.038732863,0.035316608,0.047916059,0.039270643,0.040491075,0.044402338,0.042199453,0.039300958,0.026156978,0.027484928,0.027281384,0.028583014,0.027714109,0.030087211,0.033379122,0.029524571,0.026328249,0.03588228,0.030966937,0.029749116,0.029908816,0.029555756,0.031796621,0.02767424,0.025841516,0.028243112,0.030384249,0.034401757,0.037038551,0.03643929,0.035932981,0.041887364,0.034226219,0.034011223,0.035393797,0.04164929,0.040938825,0.037043481,0.034369036,0.033694777,0.033186191,0.035113876,0.035345083,0.033337809,0.035930939,0.035381948,0.033148659,0.033729696,0.034300371,0.032981879,0.043745945,0.043055344,0.043501853
k__Eukaryota|p__Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema,0.045048125,0.052404325,0.057433471,0.057614674,0.058466877,0.058138054,0.064438547,0.067800545,0.06949081,0.058299608,0.068578384,0.073163623,0.058942401,0.054436838,0.059503407,0.04343271,0.031858296,0.035189819,0.033183787,0.029063057,0.031426046,0.023227979,0.027459808,0.043276891,0.017000331,0.026663297,0.032080532,0.024686781,0.023416318,0.021117954,0.025762046,0.029805165,0.024552776,0.029094752,0.02683402,0.025949056,0.019715006,0.020258057,0.02080857,0.02250691,0.022660325,0.019404965,0.019303866,0.01568385,0.01849415,0.012657283,0.013589979,0.015922175,0.015477003,0.013913358,0.018093136,0.011798728,0.011088929,0.011743492,0.027565822,0.026177818,0.033872504,0.00999312,0.011422671,0.010601169
k__Eukaryota|p__Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales|g__Candida,0.038088801,0.043885904,0.045484668,0.044298297,0.039434542,0.047040748,0.056301258,0.055405239,0.055443704,0.045026231,0.051806209,0.054135634,0.057049642,0.048416614,0.052465355,0.043487908,0.031045192,0.035178456,0.03159361,0.027939938,0.030686744,0.021179313,0.025484553,0.039805447,0.016313481,0.026763403,0.029973371,0.022638107,0.0226857,0.019294055,0.039999192,0.043119914,0.035501116,0.040424064,0.031600105,0.029960944,0.024396647,0.029369561,0.02751877,0.034198404,0.034806445,0.030783495,0.032620283,0.021798268,0.029951916,0.015047986,0.017401655,0.018629148,0.022934828,0.019887519,0.023072024,0.014864952,0.015804194,0.014753197,0.03940222,0.037801459,0.047972357,0.012310483,0.013915103,0.01342199
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Gossypium barbadense (sea-island cotton)|g__,0.03587508,0.031769724,0.027559905,0.020478935,0.020297477,0.02007581,0.016188678,0.016445355,0.017587498,0.014429029,0.022018194,0.017073385,0.017932822,0.018037038,0.020193102,0.036716888,0.032707652,0.033611902,0.029262371,0.030244819,0.030007957,0.033384942,0.030970305,0.026615332,0.033599989,0.031634235,0.029955957,0.036237001,0.03406166,0.033833329,0.021660117,0.021559656,0.015252124,0.020440525,0.01987445,0.020285662,0.016586981,0.022244808,0.020718018,0.020326287,0.017988033,0.019362773,0.012371551,0.012385117,0.012133517,0.02114215,0.020003224,0.019381748,0.019178422,0.020169578,0.021217711,0.016047372,0.018167744,0.017955419,0.016574345,0.014964142,0.014704716,0.012074769,0.013026271,0.012056541
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae|g__Cyanobium PCC-6307,0.004757264,0.004568981,0.002971365,0.001793002,0.001838294,0.002313,0.001727175,0.00231149,0.002216265,0.002975776,0.002033173,0.002275527,0.003830504,0.004034806,0.003426366,0.004291747,0.004241122,0.003690197,0.004150756,0.00392852,0.00417904,0.005194572,0.005314897,0.004894275,0.00465524,0.00450457,0.004523466,0.004551817,0.00539903,0.004659242,0.03914815,0.045662695,0.035475142,0.060245869,0.047834357,0.06716798,0.022859528,0.037646628,0.038722962,0.037714973,0.024895238,0.036607035,0.011195639,0.013398693,0.017331113,0.036308613,0.038484852,0.036578132,0.032134458,0.031403214,0.030321254,0.024937048,0.026517331,0.025978007,0.007601515,0.008029699,0.006374049,0.005136694,0.005727068,0.005298934
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__|g__,0.029449725,0.025245884,0.02940526,0.02133009,0.020068298,0.020875925,0.031403282,0.028686663,0.033292877,0.020050365,0.051450161,0.034836706,0.0252016,0.026055718,0.031517528,0.028138504,0.029926852,0.028465592,0.027963026,0.03062813,0.030626433,0.045527216,0.036257932,0.029696093,0.044080468,0.041426943,0.03910083,0.036482662,0.034783308,0.037419955,0.030749182,0.029222516,0.017910928,0.026236209,0.026352992,0.02030642,0.018565878,0.029053907,0.02192939,0.018810172,0.015034142,0.015853195,0.00797883,0.008180285,0.005758566,0.023262046,0.021766938,0.023363509,0.020876638,0.020724465,0.019838082,0.017330819,0.018525697,0.019909732,0.014470976,0.013327501,0.010888125,0.007404822,0.009700618,0.007345302
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__CL500-29 marine group,0.004033399,0.003205143,0.00339868,0.002442628,0.001724619,0.00203742,0.002940535,0.004751917,0.004213374,0.003497354,0.002658263,0.002799984,0.004093223,0.005081718,0.00441469,0.015000379,0.013696937,0.014165095,0.017975176,0.015454769,0.015009614,0.016569522,0.015358069,0.015254034,0.022580887,0.015643727,0.017618356,0.016163066,0.015486522,0.020066196,0.005798439,0.00499769,0.005900786,0.008150914,0.006704853,0.007722502,0.010040351,0.011776532,0.010793073,0.006473212,0.005398535,0.00629025,0.005480231,0.004904968,0.004997246,0.068628426,0.069725454,0.067105849,0.057594618,0.064293523,0.065953889,0.057452767,0.058891356,0.057402572,0.020524296,0.022142182,0.020973764,0.025891229,0.025306826,0.024024686
