bray,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
DP1,0,0.104046416,0.145366294,0.307581201,0.314863261,0.326474798,0.377648144,0.377645613,0.369638083,0.433333366,0.399931804,0.41227661,0.381599154,0.340999897,0.352400658,0.243612558,0.27754929,0.262435108,0.293213658,0.296129491,0.287918547,0.333250383,0.314418297,0.294979834,0.366471068,0.328565934,0.324027948,0.324999356,0.330355983,0.335682441,0.457976306,0.457362874,0.492808866,0.476548981,0.483194293,0.492298274,0.505148325,0.472750721,0.484015017,0.49548868,0.499769548,0.501921888,0.530412939,0.555027623,0.547854648,0.537550078,0.539621983,0.536010738,0.52426049,0.523826652,0.525746731,0.534170956,0.535069869,0.531197837,0.48246847,0.485973283,0.481817208,0.558887319,0.558322134,0.555281108
DP2,0.104046416,0,0.115383693,0.270848879,0.278262519,0.290520344,0.352603003,0.351577889,0.348035479,0.409242195,0.380825601,0.389180583,0.360198794,0.319883455,0.333831911,0.288357395,0.326822269,0.315277443,0.328075884,0.336406806,0.325404528,0.368924434,0.351184916,0.326970133,0.398984769,0.362183417,0.355085855,0.366978773,0.368363742,0.373277122,0.444124363,0.443145729,0.482781455,0.456302159,0.467891621,0.474870536,0.498686948,0.467071927,0.472573754,0.486850725,0.488720094,0.492205148,0.522616723,0.547733875,0.539579303,0.543240047,0.544089539,0.539623285,0.526395243,0.527124732,0.52882849,0.537661146,0.537622654,0.533313839,0.482423035,0.488642979,0.475548994,0.563123163,0.562836271,0.558464379
DP3,0.145366294,0.115383693,0,0.264457592,0.277943795,0.282927498,0.342422038,0.343701162,0.337089409,0.40282948,0.37833456,0.384144093,0.36771366,0.341675067,0.333523839,0.332663965,0.374132221,0.360368298,0.365073124,0.372902209,0.360212295,0.41694761,0.390028989,0.348646879,0.447823754,0.401342838,0.390704078,0.413197163,0.414176026,0.420484069,0.437925055,0.43656687,0.473950527,0.467112733,0.472392578,0.48942659,0.505525668,0.480002358,0.485992063,0.490483398,0.492402337,0.496626947,0.523665496,0.547452195,0.539657796,0.560837661,0.564195749,0.559107519,0.54729483,0.544703101,0.546359025,0.551551751,0.55223313,0.546091279,0.488708187,0.494227602,0.47546135,0.568921092,0.569268513,0.565265501
DP4,0.307581201,0.270848879,0.264457592,0,0.089055799,0.0834832,0.222451656,0.21537828,0.238622376,0.255345133,0.279557149,0.26107308,0.270134733,0.269520123,0.253672772,0.425235349,0.465355462,0.452838483,0.442466114,0.458156951,0.444336997,0.487803075,0.467238349,0.429161877,0.505318376,0.479198673,0.467253976,0.48981841,0.488658591,0.486918037,0.478253987,0.484311021,0.505768251,0.452680419,0.471739503,0.458203703,0.488969923,0.448742129,0.438393617,0.452529805,0.459396763,0.466069866,0.480939746,0.510656677,0.502476545,0.558246417,0.554099877,0.553707921,0.543444137,0.540191429,0.544363238,0.550276994,0.547672457,0.547138579,0.493189911,0.497752454,0.488942502,0.553704289,0.554305625,0.548082881
DP5,0.314863261,0.278262519,0.277943795,0.089055799,0,0.111031821,0.239192514,0.235932923,0.254864366,0.2827936,0.294097661,0.276894172,0.282521591,0.277671364,0.271299999,0.431436462,0.465279746,0.454761839,0.442995844,0.455493499,0.443978373,0.484334072,0.46576854,0.431513567,0.501481202,0.478823838,0.467812983,0.488490888,0.486211279,0.483742882,0.489946314,0.498228844,0.514602196,0.462206548,0.483625493,0.465604528,0.498807191,0.457449032,0.450264008,0.463225743,0.467648621,0.47433716,0.488910089,0.519210547,0.512174911,0.566808574,0.561473467,0.5598449,0.551140205,0.549475554,0.551472752,0.559725794,0.558893987,0.558255703,0.504649557,0.509312803,0.504474088,0.567255369,0.567357721,0.562200548
DP6,0.326474798,0.290520344,0.282927498,0.0834832,0.111031821,0,0.224508792,0.22012072,0.248879711,0.25577563,0.287213229,0.267658272,0.272656174,0.271102526,0.257193084,0.436858068,0.476287938,0.464419861,0.451625138,0.465165551,0.453010652,0.495634823,0.476558108,0.435399521,0.513764679,0.488649635,0.475307094,0.498681084,0.498212791,0.496907846,0.479542058,0.485932437,0.504918544,0.451075418,0.472622466,0.459413465,0.489490741,0.447935974,0.437795428,0.452293612,0.458610813,0.466570664,0.487795289,0.514161875,0.506474428,0.560912044,0.55522562,0.554506996,0.543854171,0.539965985,0.543179427,0.553333675,0.550444094,0.549596112,0.495580163,0.500167528,0.486792223,0.55846855,0.557966622,0.55196445
DP7,0.377648144,0.352603003,0.342422038,0.222451656,0.239192514,0.224508792,0,0.076241102,0.089139718,0.228705851,0.188095248,0.15447769,0.189198694,0.216580653,0.174936044,0.440001341,0.480670934,0.467071534,0.457183438,0.466811079,0.455438649,0.495232732,0.475965659,0.437195768,0.516509491,0.485475427,0.471261118,0.493593607,0.492371704,0.491606901,0.497455566,0.502471689,0.531373725,0.465271801,0.492200318,0.48747341,0.506800765,0.459951732,0.467623502,0.479630036,0.48416256,0.493886822,0.512211378,0.542447347,0.528716814,0.569548485,0.563966857,0.559234208,0.550459396,0.551346228,0.551976285,0.57222667,0.570717794,0.56848118,0.517464267,0.518628612,0.500703589,0.585509221,0.582824392,0.581583714
DP8,0.377645613,0.351577889,0.343701162,0.21537828,0.235932923,0.22012072,0.076241102,0,0.088309347,0.204344621,0.184010048,0.143447315,0.179126727,0.203900044,0.16669374,0.437441121,0.478652478,0.464990026,0.454693462,0.466345383,0.455800258,0.49497376,0.475247732,0.436571528,0.515491041,0.485279391,0.470873597,0.495255761,0.492132926,0.490086321,0.495849565,0.49852887,0.527431562,0.460196912,0.488952614,0.484175881,0.501072025,0.455496189,0.461197371,0.469597563,0.476418849,0.487055611,0.505828125,0.535937258,0.523435506,0.563775206,0.555803286,0.552996005,0.545528624,0.544050004,0.544325611,0.565922656,0.5637409,0.560996498,0.508613793,0.509616512,0.493170266,0.575562228,0.573884867,0.571521607
DP9,0.369638083,0.348035479,0.337089409,0.238622376,0.254864366,0.248879711,0.089139718,0.088309347,0,0.243216374,0.18036527,0.151933938,0.186699188,0.209148692,0.172716154,0.428705326,0.466802621,0.456252025,0.446789833,0.454661536,0.445165127,0.479673731,0.460844286,0.426665045,0.502727151,0.471808942,0.456493996,0.482109244,0.480774068,0.480367916,0.496847076,0.501174512,0.534404196,0.467895506,0.495192804,0.491132869,0.508752954,0.462034737,0.475903861,0.482850828,0.483567488,0.492684702,0.515808333,0.544950812,0.532017036,0.566264061,0.561145941,0.556681302,0.548329783,0.550677273,0.55120702,0.569687773,0.568691345,0.565129416,0.514231207,0.516348156,0.497101868,0.587041437,0.584377862,0.58349203
DP10,0.433333366,0.409242195,0.40282948,0.255345133,0.2827936,0.25577563,0.228705851,0.204344621,0.243216374,0,0.223189637,0.18592747,0.217844672,0.248671781,0.22122645,0.492092095,0.532216234,0.520677508,0.505793742,0.518095895,0.506302851,0.543938499,0.526040217,0.487599839,0.561433881,0.537591404,0.523653748,0.543257596,0.541836218,0.534856485,0.517532652,0.52353842,0.534471703,0.47371067,0.497144959,0.484817291,0.499456007,0.460572921,0.449168567,0.44794001,0.463986589,0.477929014,0.49595227,0.526012699,0.5143451,0.567691576,0.557032486,0.559091182,0.551274038,0.545998291,0.54804573,0.567081465,0.565142337,0.564936329,0.514819085,0.512041553,0.502000079,0.566644611,0.565828397,0.564070186
