,YR_1,YR_3,YR_5,YR_7,YR_9
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.023969756,0.025139817,0.027754174,0.027751022,0.029805319
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__hgcI clade,0.007393762,0.005672639,0.011791931,0.005132535,0.00462139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella,0.035246116,0.027156747,0.032241093,0.032217905,0.044113605
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,0.027252956,0.033941519,0.038086545,0.034543746,0.039877199
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Gossypium barbadense (sea-island cotton)|g__,0.019490632,0.020200212,0.019849936,0.019225698,0.012296728
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae|g__Cyanobium PCC-6307,0.040095329,0.058416069,0.033076373,0.033072416,0.013975149
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__|g__,0.025960875,0.02429854,0.023183058,0.016565836,0.007305894
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__CL500-29 marine group,0.005565638,0.007526089,0.010869985,0.006053999,0.005127482
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat)|g__,0.020550475,0.020015452,0.01220889,0.014375746,0.012513595
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,0.021469905,0.007590791,0.012067194,0.016666084,0.021423551
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Leptolyngbyales|f__Leptolyngbyaceae|g__Leptolyngbya VRUC 135,0.002663025,0.002277278,0.001746755,0.001374167,0.00075458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__,0.012312057,0.013083301,0.013188136,0.017133429,0.020060277
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__,0.010903494,0.008655483,0.007516459,0.007736338,0.007411119
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Prochlorotrichaceae|g__Prochlorothrix PCC-9006,0.00013383,0.0001014,0.000413892,0.000147867,0.00015605
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Sporomusaceae|g__Anaerospora,9.31E-05,2.37E-05,7.35E-05,0.000253375,0.000255522
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Microcystaceae|g__Synechocystis PCC-6803,0.000487203,0.000582789,0.000242437,0.000320712,6.94E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria,0.001123895,0.001087638,0.001855595,0.001731203,0.003012058
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade|f__Clade III|g__,0.001924695,0.001381035,0.002940509,0.000901296,0.001002
