,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Actinobacteriota,PFU - Water,k__Bacteria|p__Actinobacteriota,LEfSe,Water,4.729033253,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota,LEfSe,Water,4.729033253,2.87E-11,6.03E-09,***
k__Bacteria,PFU - Water,k__Bacteria,LEfSe,Water,4.678565603,2.40E-06,2.60E-05,***
k__Eukaryota,PFU - Water,k__Eukaryota,LEfSe,PFU,4.663303355,7.48E-06,7.08E-05,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria,LEfSe,Water,4.5672196,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales,LEfSe,Water,4.509566149,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae,LEfSe,Water,4.50910065,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__hgcI clade,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__hgcI clade,LEfSe,Water,4.491254217,2.87E-11,6.03E-09,***
k__Eukaryota|p__Fungi,PFU - Water,k__Eukaryota|p__Fungi,LEfSe,PFU,4.336387131,2.06E-05,0.000164738,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi,LEfSe,PFU,4.336387131,2.06E-05,0.000164738,***
k__Bacteria|p__Firmicutes,PFU - Water,k__Bacteria|p__Firmicutes,LEfSe,Water,4.161341003,1.23E-09,6.61E-08,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes,LEfSe,Water,4.161341003,1.23E-09,6.61E-08,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia,LEfSe,Water,4.142714312,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales,LEfSe,Water,4.141230065,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae,LEfSe,Water,4.13353027,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__CL500-29 marine group,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__CL500-29 marine group,LEfSe,Water,4.115477651,2.87E-11,6.03E-09,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota,LEfSe,PFU,3.990568057,5.82E-07,8.04E-06,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema,LEfSe,PFU,3.967419363,0.000710142,0.003292228,**
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota,LEfSe,PFU,3.967250942,0.000749369,0.003425799,**
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina,LEfSe,PFU,3.967250942,0.000749369,0.003425799,**
