,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Actinobacteriota,PFU - Water,k__Bacteria|p__Actinobacteriota,LEfSe,Water,4.732723707,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota,LEfSe,Water,4.732723707,2.87E-11,6.03E-09,***
k__Bacteria,PFU - Water,k__Bacteria,LEfSe,Water,4.676521639,2.40E-06,2.60E-05,***
k__Eukaryota,PFU - Water,k__Eukaryota,LEfSe,PFU,4.661294165,7.48E-06,7.08E-05,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria,LEfSe,Water,4.567387184,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales,LEfSe,Water,4.507809879,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae,LEfSe,Water,4.507260625,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__hgcI clade,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__hgcI clade,LEfSe,Water,4.489194825,2.87E-11,6.03E-09,***
k__Eukaryota|p__Fungi,PFU - Water,k__Eukaryota|p__Fungi,LEfSe,PFU,4.331823683,2.06E-05,0.000164738,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi,LEfSe,PFU,4.331823683,2.06E-05,0.000164738,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia,LEfSe,Water,4.153414781,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales,LEfSe,Water,4.151659391,2.87E-11,6.03E-09,***
k__Bacteria|p__Firmicutes,PFU - Water,k__Bacteria|p__Firmicutes,LEfSe,Water,4.146446497,1.23E-09,6.61E-08,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes,LEfSe,Water,4.146446497,1.23E-09,6.61E-08,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae,LEfSe,Water,4.143893667,2.87E-11,6.03E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__CL500-29 marine group,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__CL500-29 marine group,LEfSe,Water,4.12601977,2.87E-11,6.03E-09,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota,LEfSe,PFU,3.985170023,5.82E-07,8.04E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade|f__Clade III,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade|f__Clade III,LEfSe,Water,3.899899003,4.29E-11,6.36E-09,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade,LEfSe,Water,3.897154766,3.88E-11,6.36E-09,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales,LEfSe,PFU,3.88633443,1.67E-06,1.91E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina,LEfSe,PFU,3.886147083,1.79E-06,2.02E-05,***
