re-edited,SampleID,Group,Site,Classfiy
DW1,DW1,E-Water,East lake,Water
DW2,DW2,E-Water,East lake,Water
DW3,DW3,E-Water,East lake,Water
DW4,DW4,E-Water,East lake,Water
DW5,DW5,E-Water,East lake,Water
DW6,DW6,E-Water,East lake,Water
DW7,DW7,E-Water,East lake,Water
DW8,DW8,E-Water,East lake,Water
DW9,DW9,E-Water,East lake,Water
DW10,DW10,E-Water,East lake,Water
DW11,DW11,E-Water,East lake,Water
DW12,DW12,E-Water,East lake,Water
DW13,DW13,E-Water,East lake,Water
DW14,DW14,E-Water,East lake,Water
DW15,DW15,E-Water,East lake,Water
DP1,DP1,E-PFU,East lake,PFU
DP2,DP2,E-PFU,East lake,PFU
DP3,DP3,E-PFU,East lake,PFU
DP4,DP4,E-PFU,East lake,PFU
DP5,DP5,E-PFU,East lake,PFU
DP6,DP6,E-PFU,East lake,PFU
DP7,DP7,E-PFU,East lake,PFU
DP8,DP8,E-PFU,East lake,PFU
DP9,DP9,E-PFU,East lake,PFU
DP10,DP10,E-PFU,East lake,PFU
DP11,DP11,E-PFU,East lake,PFU
DP12,DP12,E-PFU,East lake,PFU
DP13,DP13,E-PFU,East lake,PFU
DP14,DP14,E-PFU,East lake,PFU
DP15,DP15,E-PFU,East lake,PFU
CW1,CW1,Y-Water,Yangtze river,Water
CW2,CW2,Y-Water,Yangtze river,Water
CW3,CW3,Y-Water,Yangtze river,Water
CW4,CW4,Y-Water,Yangtze river,Water
CW5,CW5,Y-Water,Yangtze river,Water
CW6,CW6,Y-Water,Yangtze river,Water
CW7,CW7,Y-Water,Yangtze river,Water
CW8,CW8,Y-Water,Yangtze river,Water
CW9,CW9,Y-Water,Yangtze river,Water
CW10,CW10,Y-Water,Yangtze river,Water
CW11,CW11,Y-Water,Yangtze river,Water
CW12,CW12,Y-Water,Yangtze river,Water
CW13,CW13,Y-Water,Yangtze river,Water
CW14,CW14,Y-Water,Yangtze river,Water
CW15,CW15,Y-Water,Yangtze river,Water
CP1,CP1,Y-PFU,Yangtze river,PFU
CP2,CP2,Y-PFU,Yangtze river,PFU
CP3,CP3,Y-PFU,Yangtze river,PFU
CP4,CP4,Y-PFU,Yangtze river,PFU
CP5,CP5,Y-PFU,Yangtze river,PFU
CP6,CP6,Y-PFU,Yangtze river,PFU
CP7,CP7,Y-PFU,Yangtze river,PFU
CP8,CP8,Y-PFU,Yangtze river,PFU
CP9,CP9,Y-PFU,Yangtze river,PFU
CP10,CP10,Y-PFU,Yangtze river,PFU
CP11,CP11,Y-PFU,Yangtze river,PFU
CP12,CP12,Y-PFU,Yangtze river,PFU
CP13,CP13,Y-PFU,Yangtze river,PFU
CP14,CP14,Y-PFU,Yangtze river,PFU
CP15,CP15,Y-PFU,Yangtze river,PFU
