,Kingdom,Phylum1,Phylum,Class,Order,Family,Genus,Species
DH_k141_21874,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Kinetoplastea,O__Kinetoplastea_X,F__Kinetoplastea_XX,G__Rhynchobodo,S__Rhynchobodo_sp
DH_k141_31678,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Craniata,O__Craniata_X,F__Teleostei,G__Pimelabditus,S__Pimelabditus_moli
DH_k141_20452,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_2304,Eukaryota,Choanoflagellida,Eukaryota_Choanoflagellida,C__Choanoflagellida_X,O__Choanoflagellida_XX,F__Clade-2,G__Sphaeroeca,S__Sphaeroeca_leprechaunica
DH_k141_39890,Eukaryota,Cercozoa,Eukaryota_Cercozoa,C__Filosa-Thecofilosea,O__Ventricleftida,F__Ventrifissuridae,G__Ventrifissuridae_X,S__Ventrifissuridae_X_sp
DH_k141_29349,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_2742,Eukaryota,Chlorophyta,Eukaryota_Chlorophyta,C__Trebouxiophyceae,O__Watanabea-Clade,F__Watanabea-Clade_X,G__Chloroidium,S__Chloroidium_ellipsoideum
DH_k141_35724,Eukaryota,Euglenozoa,Eukaryota_Euglenozoa,C__Euglenida,O__Petalomonadida,F__Eupetalomonads_X,G__Eupetalomonads_XX,S__Eupetalomonads_XX_sp
DH_k141_16887,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
DH_k141_32984,Eukaryota,Ochrophyta,Eukaryota_Ochrophyta,C__Bacillariophyta,O__Bacillariophyta_X,F__Raphid-pennate,G__Raphid-pennate_X,S__Raphid-pennate_X_sp
DH_k141_33860,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Saccharomycotina,F__Saccharomycetales,G__Candida,S__Candida_orthopsilosis
DH_k141_26647,Eukaryota,Streptophyta,Eukaryota_Streptophyta,C__Zygnemophyceae,O__Zygnemophyceae_X,F__Zygnemophyceae_XX,G__Euastrum,S__Euastrum_biverrucosum
DH_k141_5363,Eukaryota,Fungi,Eukaryota_Fungi,C__Ascomycota,O__Pezizomycotina,F__Leotiomycetes,G__Leotiomycetes_X,S__Leotiomycetes_X_sp
DH_k141_25251,Eukaryota,Discosea,Eukaryota_Discosea,C__Tubulinea,O__Echinamoebida,F__Vermamoebidae,G__Hartmannella,S__Hartmannella_cantabrigiensis
DH_k141_33936,Eukaryota,Cryptophyta,Eukaryota_Cryptophyta,C__Cryptophyceae,O__Cryptomonadales,F__Cryptomonadales_X,G__Cryptomonas,S__Cryptomonas_sp
DH_k141_15394,Eukaryota,Metazoa,Eukaryota_Metazoa,C__Arthropoda,O__Crustacea,F__Maxillopoda,G__Pseudocyclops,S__Pseudocyclops_sp
DH_k141_16434,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_8478,Eukaryota,Fungi,Eukaryota_Fungi,C__Basidiomycota,O__Agaricomycotina,F__Agaricomycetes,G__Ciborinia,S__Ciborinia_camelliae
DH_k141_33479,Eukaryota,Fungi,Eukaryota_Fungi,C__Fungi_X,O__Fungi_XX,F__Fungi_XXX,G__Fungi_XXXX,S__Fungi_XXXX_sp
DH_k141_23766,Eukaryota,Fungi,Eukaryota_Fungi,C__Chytridiomycota,O__Chytridiomycotina,F__Chytridiomycetes,G__Chytridiomycetes_X,S__Chytridiomycetes_X_sp
